AGAP000005,,78.95,0.013750498,0.239440138,0.000171241,3,core4854,,
AGAP000015,,2.81,0.000112631,0.208689488,4.18E-05,2,,,
AGAP000025,,93.13,0.004387554,0.243777634,0.000258465,4,core4854,,
AGAP000035,,9.09,8.94E-05,0.216503178,6.18E-05,1,,,
AGAP000045,,0.68,3.02E-05,0.169564536,0,2,,,
AGAP000065,,28.79,0.000236801,0.210337433,0,6,,,
AGAP000075,,2.8,3.44E-05,0.189235806,0,2,,,
AGAP000085,CPR129,90.24,0.019536474,0.225322561,7.62E-05,3,core4854,,
AGAP000095,,15.61,0.000424261,0.211908419,5.39E-07,5,,,
AGAP000105,,14.85,5.92E-05,0.217544518,0.000179491,1,,,
AGAP000115,GPRNPY4,37.74,0.000742386,0.21801137,3.71E-05,2,,,
AGAP000145,eff,22.76,0.00417234,0.227172536,4.45E-05,3,,,
AGAP000155,,15.17,1.72E-05,0.202279725,1.11E-05,1,,,
AGAP000165,GSTMS1,47.66,0.002832462,0.23456695,0.000155189,5,,,
AGAP000185,,6.97,3.14E-05,0.193867695,0.000184244,4,,,
AGAP000195,,1.37,6.17E-06,0.173542742,4.31E-08,4,,,
AGAP000205,,117.84,0.027173264,0.244294011,0.000276569,3,core4854,,
AGAP000215,,92.75,0.01076986,0.238102444,0.000107108,2,core4854,,
AGAP000225,,36.02,0.000716264,0.22621498,0.000159349,2,,,
AGAP000235,,122.69,0.030830201,0.243340963,5.07E-05,3,core4854,core6920,
AGAP000245,,9.52,0.000296047,0.2122855,7.53E-06,4,,,
AGAP000255,,52.49,0.013795308,0.23220703,0.000135827,3,,,
AGAP000275,,13.03,0.004197228,0.214201912,7.48E-07,3,,,
AGAP000285,,14.7,0.003671099,0.227214033,9.17E-05,3,,,
AGAP000305,,17.17,0.000241938,0.220116054,0.000126835,5,,,
AGAP000315,CLIPC6,2.01,1.00E-06,0.160488099,1.29E-07,7,,,
AGAP000325,,6.83,5.88E-05,0.207908103,1.77E-06,1,,,
AGAP000345,CPR126,99.73,0.017701634,0.233568779,9.04E-05,3,core4854,,
AGAP000355,,0.69,5.42E-07,0.164882735,0,1,,,
AGAP000365,,5.37,3.54E-06,0.182658564,9.53E-05,9,,,
AGAP000375,,10.6,0.000209556,0.220416241,7.09E-05,1,,,
AGAP000395,,31.46,0.000202113,0.224541808,5.39E-05,1,,,
AGAP000405,,42.55,0.000416745,0.227376843,1.58E-05,1,,,
AGAP000415,,7.04,3.66E-05,0.205580364,0,1,,,
AGAP000425,,58.56,0.002285549,0.232631631,6.49E-05,5,,,
AGAP000445,GPRADS,19.12,0.000119093,0.205510877,0.000155039,2,,,
AGAP000475,,2.77,4.09E-06,0.188353352,2.59E-06,1,,,
AGAP000485,,79.08,0.002495084,0.21629374,1.47E-05,2,,,
